,claim,posted,source,rating
0,“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”,"June 3, 2020",Viral image,false
1,“You see suicide rates are skyrocketing now…”,"May 26, 2020",Tim Murtaugh,false
2,"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”","May 27, 2020",Facebook posts,false
3,Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,"May 13, 2020",Bloggers,barely-true
4,"“The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”","May 19, 2020",Scott Manley,barely-true
5,“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,"May 27, 2020",Darren Jackson,true
6,Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”,"May 21, 2020",Joe Biden,mostly-true
7,"“With retail, people are moving around and you don’t have as much a chance to spread the virus (as you do) when people are sitting or standing indoors” for long periods of time.","May 12, 2020",Roy Cooper,mostly-true
8,"""The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.""","May 15, 2020",Tammy Baldwin,half-true
9,"“For the World Health Organization, the international entity whose sole responsibility it is to alert the world of global pandemics like this, to miss this, is a huge problem.”","May 5, 2020",Brian Fitzpatrick,barely-true
10,Says researchers found a “fabric that kills coronaviruses”,"May 21, 2020",Facebook posts,mostly-true
11,Michigan governor reopened Traverse City “so she could have her daughter's open house.”,"May 20, 2020",Facebook posts,false
12,"Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.","May 16, 2020",Facebook posts,false
13,"Says President Donald Trump is trying to make $451 billion in Medicare cuts ""in the middle of a deadly pandemic.""","May 19, 2020",Priorities USA Action,barely-true
14,"“We’re down near the low end of per capita deaths ... Most places are at 60 deaths per 100,000. We're at 29.”","May 27, 2020",Joe Kernen,barely-true
15,“This is what Bill Gates and George Soros want to do… secretly stick you with a chip while testing you for the coronavirus... the Dems have a bill on the House floor ready to vote on it to require this.”,"May 10, 2020",Facebook posts,false
16,"Says the state “health secretary says don't go to hospitals or clinics, now the tourism secretary says don't recreate.”","May 26, 2020",Tom Tiffany,barely-true
17,"Italy “went against the WHO's ‘law’” against COVID-19 autopsies and “discovered covid is not a virus, but a bacterium” that “clots the blood and reduces the oxygen saturation.”","May 26, 2020",Facebook posts,false
18,"“Cases, numbers and deaths (of COVID-19) are going down all over the Country!”","May 24, 2020",Donald Trump,half-true
19,The flu didn't kill any Americans this year.,"May 16, 2020",Facebook posts,pants-fire
20,A photo shows three men on crosses who “feel like they’re being crucified by being required to stay at home.”,"May 22, 2020",Viral image,false
21,"Says Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders.","May 20, 2020",Facebook posts,false
22,A photo shows Gov. Gretchen Whitmer “on Mackinaw Island today ignoring mask and social distancing rules.”,"May 24, 2020",Viral image,false
23,"Nancy Pelosi said ""Congress shall not vote remotely because it is not secure!"" while also saying that “Americans should all vote for president by mail!”","May 10, 2020",Facebook posts,barely-true
24,"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”","May 25, 2020",Donald Trump,pants-fire
25,Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”,"May 18, 2020",Facebook posts,false
26,"Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”","May 6, 2020",Facebook posts,barely-true
27,“Children don’t seem to be getting this virus”,"April 28, 2020",Janel Brandtjen,barely-true
28,"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”","May 18, 2020",Facebook posts,false
29,“The COVID-19 future vaccine will come with the ID — a mark. The ID tells everyone you are free of COVID.”,"April 11, 2020",Facebook posts,false
30,"Says if you're refused service at a store for not wearing a mask “call the department of health and report the store. Masks are suggested, not required.”","April 28, 2020",Facebook posts,false
31,“Italian Parliament Calls For The Arrest of Bill Gates”,"May 15, 2020",Bloggers,false
32,A long list shows “new CDC guidelines for reopening schools.”,"May 20, 2020",Viral image,mostly-true
33,"Says Joni Ernst ""claims she ‘pushed for’ new funding for hospitals and COVID-19 testing after opposing It for weeks.”","April 21, 2020",Iowa Democratic Party,half-true
34,"The U.S. had 44 CDC staffers “in China to observe what was going on. (President Trump) brought home the vast majority of them, I think left only four in place.”","May 14, 2020",Joe Biden,half-true
35,"“If you have had a flu shot in the last 3-5 years, you will probably test positive” for COVID-19.","April 27, 2020",Viral image,pants-fire
36,“80% of the people” want the option of vote by mail,"May 16, 2020",Amy Klobuchar,half-true
37,Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,"May 16, 2020",Facebook posts,false
38,“Almost 75 percent of the deaths from COVID-19 in the state of Texas are a result of people contracting COVID-19 who are age 65 and older.”,"May 5, 2020",Greg Abbott,mostly-true
39,The novel coronavirus was “man-made.”,"May 15, 2020",Kimberly Lightford,false
40,“Half the workforce in the country may have just been idled” by coronavirus.,"April 24, 2020",Dan Bishop,barely-true
41,"“Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.”","May 13, 2020",Facebook posts,false
42,"“VA Democrats authorized for early release over 4,000 inmates, 60% of which are incarcerated for violent offenses.”","April 28, 2020",Nick Freitas,mostly-true
43,"“A lot of people can get an additional $2,400” from the CARES Act “and they can do it every month!”","May 19, 2020",Instagram posts,barely-true
44,"“If you look at the one (hydroxychloroquine) survey, the only bad survey, they were giving it to people that were in very bad shape. They were very old. Almost dead.”","May 19, 2020",Donald Trump,false
45,"If you paid rent in March or April, “they got to give” you your money back.","April 22, 2020",Facebook posts,false
46,“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”,"May 15, 2020",Facebook posts,false
47,"""All Missouri businesses can open Monday, May 4, under our new Order as long as new guidelines are followed.""","April 27, 2020",Mike Parson,barely-true
48,Says President Donald Trump is “morbidly obese.”,"May 19, 2020",Nancy Pelosi,false
49,"“Autopsies prove that COVID-19 is” a blood clot, not pneumonia, “and ought to be fought with antibiotics” and the whole world has been wrong in treating the “so-called” pandemic.","May 11, 2020",Facebook posts,pants-fire
50,“Gov. Wolf is not allowing companies that distribute U.S. flags to ship out orders to be placed at veteran’s graves for Memorial Day.”,"May 11, 2020",Facebook posts,mostly-true
51,Says wearing face masks is more harmful to your health than going without one.,"May 8, 2020",Facebook posts,false
52,"""States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.""","May 7, 2020",Andy Biggs,false
53,Dr. Fauci says every American should be microchipped.,"May 15, 2020",Facebook posts,false
54,Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers.,"March 14, 2020",Viral image,false
55,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.","May 14, 2020",Facebook posts,false
56,Anthony Fauci was on the Clinton Foundation board for 20 years and “currently serves on Gates Foundation.”,"May 12, 2020",Facebook posts,false
57,“Bill Gates admits his COVID-19 vaccine might kill nearly 1 million people.”,"April 30, 2020",Facebook posts,pants-fire
58,“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,"May 14, 2020",Facebook posts,false
59,"Hospitals get paid $750 for patients who die from the flu, $17,500 for COVID-19.","April 27, 2020",Facebook posts,false
60,"“Pelosi’s new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.”","May 12, 2020",Facebook posts,mostly-true
61,"“Cannabis may stop coronavirus from infecting people, study finds.”","May 14, 2020",Facebook posts,barely-true
62,"""Bill Gates worked to end livestock production, and is pushing lab grown meat.""","May 4, 2020",Facebook posts,half-true
63,"Says only certain face masks are effective and others, such as cloth masks, are not.","April 2, 2020",Facebook posts,false
64,"Nancy Pelosi said, “if you accept a check from Trump, you might as well vote for him.”","April 15, 2020",Viral image,false
65,"“Beachgoers trash Florida beaches with 13,000 pounds of litter after beaches reopen.”","May 12, 2020",Facebook posts,mostly-true
66,Says Wisconsin has not had a spike in coronavirus cases that was “statistically significant related to the fact that they had voting.”,"May 6, 2020",Chip Roy,mostly-true
67,“You have areas of Pennsylvania that are barely affected and [the governor wants] to keep them closed.”,"May 14, 2020",Donald Trump,half-true
68,Says Gov Tony Evers’ administration deemed dentists non-essential,"May 12, 2020",Janel Brandtjen,false
69,"$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”","May 12, 2020",Facebook posts,false
70,"“It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.”","May 9, 2020",Facebook posts,half-true
71,"“Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.”","May 7, 2020",Stacey Abrams,false
72,"“Clearly, the Obama administration did not leave any kind of game plan for something like this.”","May 11, 2020",Mitch McConnell,pants-fire
73,"""93% of the (COVID-19) cases in the state of Illinois have come from Chicago.""","May 1, 2020",Darin LaHood,false
74,Gates Foundation stands to make nearly £31.5 billion on a coronavirus vaccine in U.K.,"May 6, 2020",Facebook posts,false
75,"$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""","May 6, 2020",Rand Paul,false
76,“It’s not the coronavirus that’s killing people. It is the economy.”,"April 23, 2020",Bloggers,false
77,"“Guess what, [children are] not at risk unless they have an underlying medical issue.”","May 9, 2020",Mike Turzai,false
78,"“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”","May 11, 2020",Donald Trump,false
79,"Says President Donald Trump implemented “a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.”","May 11, 2020",Chris Murphy,false
80,"New York City could pay to house its homeless population in hotel rooms currently sitting vacant, but Mayor Bill de Blasio “has absolutely to this point refused to do that.”","April 8, 2020",Coalition for the Homeless,mostly-true
81,Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”,"May 5, 2020",Facebook posts,true
82,“Nearly half of (Missouri) counties have not reported positive (COVID-19) cases.”,"April 21, 2020",Louis Riggs,false
83,"Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity","May 9, 2020",Facebook posts,pants-fire
84,"Young people ""have a greater chance of being killed by the HPV vaccine than COVID-19.”","April 28, 2020",Jeff Shipley,pants-fire
85,"""Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.""","April 24, 2020",Cal Cunningham,barely-true
86,“The CDC has recommended mail in voting. That’s what this whole pandemic is about: the election!”,"May 7, 2020",Facebook posts,barely-true
87,"Says Dr. Anthony Fauci's name appears on ""4 U.S. patents for a key glycoprotein” used to “create the current COVID-19 epidemic.”","April 28, 2020",Jerome R. Corsi,false
88,“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,"May 8, 2020",One America News,pants-fire
89,Technology coming to Virginia allows COVID-19 personal protection equipment to be “decontaminated and reused 20 times without degrading performance.”,"May 1, 2020",Ralph Northam,half-true
90,Barack Obama “is the first ex-president to ever speak against his successor.”,"May 10, 2020",Tweets,false
91,“Dr. Fauci sat on Microsoft’s board of directors.”,"May 7, 2020",Viral image,false
92,"Regarding the risks of coronavirus transmission on an airplane, “It’s as safe as an environment as you’re going to find.”","May 3, 2020",Gary Kelly,barely-true
93,Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,"April 24, 2020",South West News Service,false
94,Georgia Gov. Brian Kemp “mandates restaurants reopen”,"April 29, 2020",Facebook posts,false
95,Central Park hospital tents housed thousands of abused children released from underground captivity.,"May 3, 2020",Facebook posts,pants-fire
96,“New autopsy reports suggest Jeffrey Epstein most likely died from COVID-19 complications.”,"April 20, 2020",Viral image,false
97,Says Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,"May 8, 2020",Bloggers,false
98,A photo shows Brian Kemp posing with Gregory McMichael.,"May 6, 2020",Viral image,false
99,“Texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.,"May 3, 2020",Greg Abbott,half-true
100,"North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”","April 23, 2020",Warren Daniel,false
101,“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,"April 28, 2020",Facebook posts,barely-true
102,"Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”","May 1, 2020",Liberty Counsel,barely-true
103,Says the current survival rate for COVID-19 in the U.S. is “98.54%”,"April 14, 2020",Facebook posts,half-true
104,“Immigrants make up a majority of essential workers in places like New York City.”,"April 21, 2020",Kirsten Gillibrand,mostly-true
105,"Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries.","April 14, 2020",Facebook posts,pants-fire
106,A photo shows Rob Cantrall at a recent Michigan protest.,"May 4, 2020",Viral image,false
107,"Gas is under $1 in 13 states, but $2.27 in Pennsylvania, because of the governor.","May 2, 2020",Facebook posts,barely-true
108,"""Trump bailed out Wall Street, but not Main Street.""","May 5, 2020",Lincoln Project,false
109,Models projecting COVID-19 deaths “are talking about without mitigation.”,"May 5, 2020",Donald Trump,false
110,"""We’ve still had more deaths to the flu this year than we've had COVID-19.""","April 24, 2020",Dan Forest,false
111,"""There was no real scientific basis for believing that"" social distancing would be necessary, ""since it had never been studied.""","May 4, 2020",Laura Ingraham,false
112,"Dr. Anthony Fauci ""has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”","April 27, 2020",Bloggers,false
113,"“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”","April 29, 2020",Viral image,pants-fire
114,Congressional candidate Chris Jacobs “voted against paid leave for COVID-19.”,"April 8, 2020",Nate McMurray,mostly-true
115,"“The flu killed 80,000 people in the U.S. last year”","April 18, 2020",Facebook posts,barely-true
116,“First volunteer in UK coronavirus vaccine trial has died.”,"April 25, 2020",Bloggers,false
117,"“At the end of the year, we put into that federal pot $116 billion more than we take out,” while Kentucky “takes out $148 billion more than they put in.”","April 23, 2020",Andrew Cuomo,half-true
118,“I see no time in the history of this country when perfectly healthy people have been basically confined to their homes or only able to do essential things as in Kansas City or St. Louis.”,"March 22, 2020",Cindy O’Laughlin,false
119,“New York Times editor admits Biden sexual assault story was censored at behest of Biden campaign.”,"April 14, 2020",Facebook posts,barely-true
120,“The (corona)virus just isn’t nearly as deadly as we thought it was.”,"April 27, 2020",Tucker Carlson,barely-true
121,Says Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,"May 3, 2020",Donald Trump,false
122,"""Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?""","April 26, 2020",Rudy Giuliani,false
123,Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,"April 29, 2020",Facebook posts,false
124,"Walmart, Amazon, Kroger, Target and Costco “have not had any reported (coronavirus) cases in the news.”","April 29, 2020",Viral image,false
125,"Says Wisconsin measures have ""prevented the death of at least 300 Wisconsinites, and perhaps as many as 1,400 lives.""","April 21, 2020",Tony Evers,mostly-true
126,The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,"April 22, 2020",Facebook posts,false
127,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”","April 23, 2020",Facebook posts,pants-fire
128,The CDC recommends that only people with COVID-19 symptoms should wear masks.,"April 27, 2020",Facebook posts,false
129,“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”,"April 22, 2020",Facebook posts,pants-fire
130,"“President Trump just announced that the ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak (sp) Hussein Obama in 2015 to the tune of $3,800,000 American dollars!”","April 22, 2020",Bloggers,false
131,“We’ve tested more than every country combined.”,"April 27, 2020",Donald Trump,pants-fire
132,“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,"April 23, 2020",Facebook posts,barely-true
133,COVID-19 is “here to stay” and “we need to accept that and be prepared to deal with COVID long term.”,"April 26, 2020",Facebook posts,mostly-true
134,Michigan Gov. Gretchen Whitmer “has just been stripped of her emergency coronavirus powers by her state legislature.”,"April 27, 2020",Instagram posts,barely-true
135,"“Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case.”","April 12, 2020",Andrew Cuomo,mostly-true
136,“We’re also using a sterilization process ― some great equipment that will sterilize masks up to 20 times per mask. So that’s like ordering 20 times more masks.”,"April 23, 2020",Donald Trump,half-true
137,“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,"April 14, 2020",Jamie Nadler,true
138,"Dr. Anthony “Fauci told us there’s nothing to worry about. That’s his quote, ‘There’s nothing to worry about.’”","April 14, 2020",Steve Bannon,half-true
139,“Ultraviolet Radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now.”,"April 24, 2020",Facebook posts,false
140,"“Sweden has zero lockdown” and “is in no worse shape than Denmark or Norway,” which are in lockdown.","April 19, 2020",Facebook posts,barely-true
141,The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.,"April 26, 2020",Facebook posts,pants-fire
142,Mosquitoes can transfer COVID-19 “from person to person”,"April 22, 2020",Facebook posts,false
143,“People defying stay-at-home order fill Arizona beaches.”,"April 22, 2020",Bloggers,pants-fire
144,Says the April 22 jump in COVID-19 cases was related to the election.,"April 23, 2020",Chris Larson,false
145,"Even with no shutdown, Sweden has a lower COVID-19 infection rate than UK, Italy and Spain.","April 17, 2020",Franklin Graham,half-true
146,"In 1986, the founder of the Times Square Church prophesied that he saw “a plague coming on the world and the bars and church and government will shut down,” with New York City especially hard hit.","April 3, 2020",Facebook posts,false
147,“Trump said ‘hundreds’ of governors are calling him…& we only have 50.”,"April 21, 2020",Facebook posts,false
148,"During the 1918 flu pandemic, San Francisco residents formed the “Anti-Mask League.” San Francisco “was ultimately one of the cities that suffered the most with a high death rate.”","April 22, 2020",Facebook posts,mostly-true
149,Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,"April 22, 2020",Veronica Escobar,true
150,“Governor Gretchen Whitmer spent the past weekend at her VACATION COTTAGE at Birch Lake. Violating her own EXECUTIVE ORDER.”,"April 13, 2020",Facebook posts,false
