,claim,posted,source,rating
293,Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.,"March 20, 2020",Facebook posts,mostly-true
294,"“China is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and that's why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.”","March 18, 2020",John Cornyn,false
295,“Donald Trump would receive $17 million for three hotels closed for four days under Republican bill! How in the hell is this right?!”,"March 23, 2020",Facebook posts,false
296,"“All schools in Canada are closed for the rest of the school year, each family will receive $950 every two weeks for the next 15 weeks, banks were notif(ied) to suspend mortgage payments for at least 6 months, and student loans deferred.”","March 21, 2020",Facebook posts,half-true
297,“Australia Closing Borders in a few hours for 6-months”,"March 20, 2020",Facebook posts,half-true
298,An audio message lists five ways people can prevent the novel coronavirus.,"March 23, 2020",Chain message,false
299,“Bill Gates told us about the coronavirus in 2015.”,"March 15, 2020",Facebook posts,mostly-true
300,Says a military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.,"March 16, 2020",Viral image,false
301,"""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""","March 21, 2020",Facebook posts,false
302,“Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!”,"March 22, 2020",Facebook posts,pants-fire
303,"Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”","March 24, 2020",Donald Trump,false
304,Says Gov. Tony Evers is “pushing firearm confiscation orders”,"March 24, 2020",Facebook posts,pants-fire
305,Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,"March 24, 2020",Donald Trump,mostly-true
306,“Fish tank additive may treat coronavirus.”,"March 20, 2020",Bloggers,false
307,"""Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of"" the novel coronavirus.","March 23, 2020",Chain message,false
308,Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.,"March 21, 2020",Instagram posts,pants-fire
309,Says it was “unquestionably” not within his “legal authority” to postpone Illinois’ primary election by changing the date or shifting to vote-by-mail.,"March 17, 2020",JB Pritzker,mostly-true
310,“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”,"March 23, 2020",Instagram posts,false
311,"""U.S. deaths since 1/22 (2020): COVID-19: 27, flu, 4,700; abortion: 118,000.""","March 17, 2020",Facebook posts,barely-true
312,Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,"March 21, 2020",Facebook posts,pants-fire
313,"Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.""","March 23, 2020",Chain message,false
314,Says businesses will give you free baby formula during the coronavirus outbreak.,"March 15, 2020",Facebook posts,pants-fire
315,"""Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.""","March 19, 2020",Facebook posts,false
316,"“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”","March 15, 2020",Facebook posts,half-true
317,“Go to 2020census.gov and fill out this census form so you can get your stimulus check.”,"March 22, 2020",Facebook posts,false
318,Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,"March 13, 2020",Dan Crenshaw,true
319,“Wisconsin is the only state where all Republicans voted against protecting its citizens.”,"March 19, 2020",Facebook posts,mostly-true
320,“No city in the state can quarantine itself without state approval.”,"March 17, 2020",Andrew Cuomo,true
321,For coronavirus cases “in the U.S. 38% of those hospitalized are under 35.”,"March 19, 2020",Marco Rubio,barely-true
322,"The federal government is “preparing to mobilize the national guard,” “dispatch them across the US with military” and “announce a nationwide 1 week quarantine for all citizens.”","March 19, 2020",Chain message,false
323,“Sunlight actually can kill the (novel coronavirus.)”,"March 16, 2020",Greg Murphy,false
324,"2019 coronavirus can live for ""up to 3 hours in the air, up to 4 hours on copper, up to 24 hours on cardboard up to 3 days on plastic and stainless steel.”
 ","March 18, 2020",Facebook posts,mostly-true
325,“People are going door to door in Colorado Springs stating they are COVID testing so they can rob people!!!!”,"March 17, 2020",Facebook posts,false
326,"Says ""there is no"" COVID-19 virus.","March 19, 2020",Facebook posts,pants-fire
327,"Says that “over a 45-minute period that we had the press conference” on the coronavirus on March 13, 2020, the stock market set ""an all-time record.""","March 14, 2020",Donald Trump,half-true
328,Says coronavirus is just “the damn flu.”,"March 15, 2020",David A. Clarke Jr.,pants-fire
329,"The coronavirus ""snuck up on us,” adding that it is “a very unforeseen thing.”","March 18, 2020",Donald Trump,pants-fire
330,"Says President Donald Trump said, “People are dying who have never died before.”","March 18, 2020",Facebook posts,pants-fire
331,"""George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out.""","March 15, 2020",Facebook posts,false
332,Says the New York Times exposed the “real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.”,"March 13, 2020",Bloggers,pants-fire
333,"Says Donald Trump tweeted, “I ordered the Treasury secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA”","March 18, 2020",Viral image,pants-fire
334,"“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”","March 17, 2020",Donald Trump,pants-fire
335,"“President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.”","March 13, 2020",Viral image,barely-true
336,“Italy has decided not to treat their elderly for this virus.”,"March 14, 2020",Facebook posts,barely-true
337,"“All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17.”","March 17, 2020",Facebook posts,false
338,"Says Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.""","March 16, 2020",Ron Paul,false
339,"""COVID-19 started because we eat animals.""","March 15, 2020",Instagram posts,barely-true
340,"“Now, as it stands, our health care system has adequate ventilators, ICU beds, medical professionals.”","March 16, 2020",Sean Hannity,barely-true
341,“MSNBC actually said on air ‘I hope enough people die from coronavirus that it harms Trump’s re-election.’”,"March 11, 2020",Facebook posts,false
342,"Says ""most"" NC legislators are in the ""high risk age group"" for coronavirus","March 11, 2020",Kelly Alexander,true
343,The WHO coronavirus test “was a bad test.”,"March 17, 2020",Donald Trump,false
344,In South Florida “all children and adults must remain in their homes” due to coronavirus.,"March 13, 2020",Facebook posts,pants-fire
345,President Donald Trump “will evoke (sic) what is called the Stafford act” and “order a two week mandatory quarantine for the nation.”,"March 16, 2020",Facebook posts,false
346,"Says Donald Trump “cut funding to the CDC,” “fired the Pandemic Response Team,” “refused WHO tests” and “wasted two weeks calling this outbreak a ‘Democrat hoax.’”","March 15, 2020",Instagram posts,barely-true
347,Donald Trump is “announcing tomorrow that the US is going into quarantine for the next 14 days.”,"March 16, 2020",Chain message,false
348,Says Spectrum will provide free internet to students during coronavirus school closures.,"March 13, 2020",Viral image,true
349,"Silver Solution used on strains of coronavirus ""totally eliminate it. Kills it. Deactivates it.”","February 12, 2020",Sherill Sellman,pants-fire
350,The World Health Organization offered the testing kits that they have available and to give it to us now. We refused them. We did not want to buy them.”,"March 15, 2020",Joe Biden,barely-true
351,“Coronavirus — 22. Clintons — 39.”,"March 9, 2020",Facebook posts,pants-fire
352,Says COVID-19 came to the United States in 2019.,"March 12, 2020",Facebook posts,false
353,“The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.”,"March 12, 2020",Bloggers,false
354,“‘The Simpsons' predicted Tom Hanks getting coronavirus in 2007.”,"March 12, 2020",Facebook posts,false
355,Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”,"March 12, 2020",Bloggers,false
356,Drinking “water a lot and gargling with warm water & salt or vinegar eliminates” the coronavirus.,"March 13, 2020",Viral image,false
357,Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,"March 3, 2020",Joe Biden,false
358,"Says Joe Biden “was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings & a 78% Approval Rating, the highest on record. His was lowest!""","March 12, 2020",Donald Trump,barely-true
359,"“Some states are only getting 50 tests per day, and the Utah Jazz got 58.”","March 12, 2020",Michael Dougherty,true
360,"Says 80% of novel coronavirus cases are ""mild.""","March 9, 2020",Viral image,mostly-true
361,"“During the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.”","March 12, 2020",Donald Trump,mostly-true
362,Says you can monitor yourself for COVID-19 with a breath test.,"March 10, 2020",Viral image,false
363,"“U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.”","March 7, 2020",Facebook posts,false
364,“It’s actually the safest time to fly.”,"March 13, 2020",Ainsley Earhardt,false
365,"Says if you donate blood, “they HAVE to test you” for coronavirus.","March 12, 2020",Viral image,false
366,"""Akira’ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the (World Health Organization) advising Japan to postpone the Olympics because of a pandemic risk""","February 27, 2020",Viral image,false
367,"Of the Trump administration’s European travel restrictions that exempt the U.K.: “Well, you can just get into the Chunnel, and you’ll be in the U.K.”","March 12, 2020",Nancy Pelosi,half-true
368,"“(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know that Trump closed 37 of them?”","March 9, 2020",Joy Behar,false
369,Says Tom Hanks has a volleyball to keep him company while he’s quarantined.,"March 12, 2020",Viral image,false
370,The health insurance industry has “agreed to waive all co-payments for coronavirus treatments.”,"March 11, 2020",Donald Trump,false
371,“NYC man drops dead in middle of street — suspected coronavirus!”,"March 11, 2020",Bloggers,false
372,“Whole of Italy goes into quarantine.”,"March 10, 2020",Bloggers,true
373,Says Harvard scientists say the coronavirus is “spreading so fast that it will infect 70% of humanity this year.”,"March 10, 2020",Viral image,half-true
374,“Anybody that wants a test (for the coronavirus) can get a test.”,"March 6, 2020",Donald Trump,pants-fire
375,"If the coronavirus gets in your mouth, ""drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus.""","March 6, 2020",Facebook posts,false
376,"""Being exposed to the sun for two hours"" kills the 2019 coronavirus.","March 9, 2020",Facebook posts,false
377,Says Daniel Radcliffe has the coronavirus.,"March 10, 2020",Tweets,pants-fire
378,“More people have died from knowing Hillary” than coronavirus.,"March 7, 2020",Gae Magnafici,pants-fire
379,“Every election year has a disease” ... SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.,"February 28, 2020",Facebook posts,false
380,“You’re more likely to die of influenza right now” than the 2019 coronavirus.,"on February 3,",Dr. Drew Pinsky,half-true
381,Says Nancy Pelosi delayed coronavirus funding so “Dems could campaign on it.”,"March 6, 2020",Bloggers,barely-true
382,“President Trump has come into contact with a potential coronavirus sufferer!”,"March 9, 2020",Facebook posts,barely-true
383,“The coronavirus was invented and patented in the USA and then planted in China.”,"February 19, 2020",YouTube videos,false
384,“People Of Color May Be Immune To The Coronavirus Because Of Melanin.”,"February 22, 2020",Facebook posts,false
385,The coronavirus is “simply the common cold.”,"March 1, 2020",Facebook posts,false
386,“Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome.”,"March 2, 2020",Facebook posts,false
387,"“With regard to the cost, let me be very clear: HHS has designated the coronavirus test as an essential health benefit. That means, by definition, it's covered in the private health insurance of every American, as well as covered by Medicare and Medicaid.""","March 4, 2020",Mike Pence,half-true
388,"Says Donald Trump tweeted, “Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can’t make vaccines when being bombed, not have been possible without peace I created in Israel!”","March 5, 2020",Viral image,false
389,"The Obama administration ""didn't do anything about” swine flu.","March 4, 2020",Donald Trump,false
390,“The Obama administration made a decision on testing that turned out to be very detrimental to what we’re doing” on the coronavirus.,"March 4, 2020",Donald Trump,false
391,"The media “pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.""","March 4, 2020",Facebook posts,pants-fire
392,Starting in March if you travel outside of the United States you won’t be allowed back in the country “due to high risk of the coronavirus.”,"February 27, 2020",Facebook posts,false
393,"“The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th.”","March 4, 2020",Facebook posts,false
394,Says the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.,"March 3, 2020",Bloggers,false
395,Quotes Sen. Lindsey Graham as saying President Trump “probably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.”,"March 2, 2020",Facebook posts,pants-fire
396,"The United States is “actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.""","March 2, 2020",Lou Dobbs,mostly-true
397,"“The blood test for coronavirus costs $3,200.”","February 27, 2020",Facebook posts,barely-true
398,"“Man visited Albany, N.Y. days before dying from coronavirus.”","March 4, 2020",Facebook posts,false
399,Says President Barack Obama “waited six months to call swine flu an emergency after thousands died.”,"February 29, 2020",Facebook posts,false
400,"Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections.","March 2, 2020",Viral image,false
401,Says no one has died from the coronavirus in the United States.,"March 1, 2020",Instagram posts,false
402,Says President Donald Trump spawned the “Wuhan super virus outbreak under code name ‘zyphr.’”,"February 24, 2020",YouTube videos,pants-fire
403,“Shands Hospital of Gainesville Florida has confirmed its first case of coronavirus.”,"March 1, 2020",Viral image,false
404,“The coronavirus has made it to Mississippi and the lady that caught it wasn’t around nobody with it which means it is airborne. That means if the wind blows it your direction you’ll have it also.”,"February 28, 2020",Facebook posts,false
405,Says a photo shows a man wearing a “government issue Saint Laurent hazardous materials suit.”,"March 1, 2020",Viral image,false
406,“In ‘Resident Evil’ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.”,"January 27, 2020",Facebook posts,false
407,"""Sanitizer will do nothing for the coronavirus.""","March 2, 2020",Facebook posts,false
408,"”America has been vaccinating cattle for coronavirus for years, yet the news tells you it’s new and gunna kill you all so go buy mask.”","February 27, 2020",Facebook posts,false
409,Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.,"February 29, 2020",YouTube videos,pants-fire
410,“Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients.”,"March 1, 2020",YourContent,false
411,"""Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.""","February 28, 2020",Facebook posts,false
412,The mortality rate for the flu is “right around” that of the new coronavirus: “It’s right around 2%.”,"February 25, 2020",Chad Wolf,false
413,“Hair weave and lace fronts manufactured in China may contain the coronavirus.”,"February 26, 2020",Bloggers,pants-fire
414,Says the coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”,"January 27, 2020",Facebook posts,false
415,“Three Chinese nationals were apprehended trying to cross our Southern border illegally. Each had flu-like symptoms. Border Patrol quickly quarantined them and assessed any threat of coronavirus.”,"February 24, 2020",Charlie Kirk,mostly-true
416,“Corona virus: Florida man arrested for robbery using cough as a weapon.”,"February 26, 2020",Facebook posts,pants-fire
417,"Says of President Donald Trump’s actions on the coronavirus: “No. 1, he fired the pandemic team two years ago. No. 2, he's been defunding the Centers for Disease Control.”","February 26, 2020",Michael Bloomberg,half-true
418,Says the CDC recommends men shave their beards to protect against coronavirus.,"February 26, 2020",Facebook posts,false
419,"“The coronavirus is the common cold, folks.”","February 24, 2020",Rush Limbaugh,false
420,“If you have the Flu… get these two items… Sambucol (and) Oscillococcinum… in 48 hours you will feel better. In 72 hours you will be almost symptom-free.”,"November 15, 2019",Facebook posts,barely-true
421,Says “The Simpsons” predicted the coronavirus.,"February 20, 2020",Viral image,pants-fire
422,"High levels of sulfur dioxide in Wuhan “may be a sign of mass cremations of victims of the coronavirus.""","February 15, 2020",Facebook posts,pants-fire
423,"Coronavirus patients are being ""cremated alive"" in China.","February 25, 2020",Facebook posts,false
424,Says the 2008 book “End of Days” predicted the current coronavirus outbreak.,"February 19, 2020",Viral image,false
425,Says 20 million Chinese converted to Islam after it’s proven that the coronavirus doesn’t affect Muslims.,"February 18, 2020",Viral image,pants-fire
426,“Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases — Wuhan Super Virus Updates.”,"February 11, 2020",Facebook posts,false
427,"Scientists ""are shocked to discover that weed kills corona virus”","February 3, 2020",Instagram posts,pants-fire
428,“When using a medical mask you’re supposed to use… white side out (this is the filter part) for when you’re not sick.”,"February 2, 2020",Facebook posts,false
429,"Says the 2019 coronavirus ""causes sudden death syndrome.""","February 8, 2020",Facebook posts,false
430,Says the coronavirus is “a MILITARY BIO-WEAPON Developed by China's Army.”,"February 1, 2020",Hal Turner Radio Show,false
431,"“Cocaine kills corona virus, scientists is shocked to discover that this drug can fight the virus.”","January 30, 2020",Facebook posts,pants-fire
432,"Says ""the coronavirus was engineered by scientists in a lab.""","February 3, 2020",NaturalNews.com,false
433,Says the coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills.”,"January 31, 2020",Viral image,false
434,Event 201 “gave out stuffed souvenir coronavirus toys” to “commemorate” Novel coronavirus outbreak,"January 27, 2020",Facebook posts,barely-true
435,Says drinking a bleach solution will prevent you from getting the coronavirus.,"January 28, 2020",Tweets,pants-fire
436,"Says a ""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed.""","January 28, 2020",Facebook posts,false
437,"Says the Chinese Communist Party ""will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs.""","January 25, 2020",Bloggers,false
438,"""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""","January 24, 2020",Facebook posts,pants-fire
439,"Says China ""stole Coronavirus from Canada and weaponized it into a Bioweapon.""","January 26, 2020",Bloggers,false
440,"Says a coronavirus patent expired just as there is a ""sudden outbreak"" and, despite ""media fear-mongering,"" there is already a vaccine available.","January 22, 2020",Facebook posts,pants-fire
